name,city,country,qty_flights,qty_airlines
IPIRANGA,"SANTO ANTONIO DO ICA",BRAZIL,160,3
IRINGA,IRINGA,TANZANIA,93,2
IRKUTSK,IRKUTSK,RUSSIA,80,2
"ISLA MOCHA","ISLA MOCHA",CHILE,93,2
ISLAY,ISLAY,"UNITED KINGDOM",107,2
"ISLE OF MAN","ISLE OF MAN","UNITED KINGDOM",159,3
ITABUNA,ITABUNA,BRAZIL,240,4
ITAPERUNA,ITAPERUNA,BRAZIL,133,2
ITAPETINGA,ITAPETINGA,BRAZIL,107,2
ITAPEVA,ITAPEVA,BRAZIL,106,2
ITAQUI,ITAQUI,BRAZIL,107,2
ITUIUTABA,ITUIUTABA,BRAZIL,80,1
IVANO-FRANKIVS'K,IVANO-FRANKIVS'K,UKRAINE,118,3
IVATO,ANTANANARIVO,MADAGASCAR,105,2
"IWAKUNI MCAS",IWAKUNI,JAPAN,186,3
IWAMI,IWAMI,JAPAN,106,2
"IWOJIMA AERO",IWOJIMA,JAPAN,81,2
IXTEPEC,IXTEPEC,MEXICO,81,2
"J.A. PENGEL INTL",ZANDERY,SURINAME,200,3
JABALPUR,JABALPUR,INDIA,120,2
JABOTICABAL,JABOTICABAL,BRAZIL,120,3
JACAREPAGUA,"RIO DE JANEIRO",BRAZIL,80,2
"JACKSON INTL",JACKSON,"UNITED STATES",132,2
"JACKSONVILLE MUN",JACKSONVILLE,"UNITED STATES",93,2
JACMEL,JACMEL,HAITI,120,2
JAHROM,JAHROM,IRAN,80,2
JAMMU,JAMMU,INDIA,79,3
JANVIER,JANVIER,CANADA,93,3
"JARDIM DO SERIDO","JARDIM DO SERIDO",BRAZIL,132,3
"JASPER CO",RENSSELAER,"UNITED STATES",93,2
JAUJA,JAUJA,PERU,173,2
JAZAN,JAZAN,"SAUDI ARABIA",79,1
JEREZ,JEREZ,SPAIN,173,3
JERSEY,JERSEY,"UNITED KINGDOM",93,2
JESENWANG,JESENWANG,GERMANY,119,3
"JESUP-WAYNE CO",JESUP,"UNITED STATES",94,2
"JOAO PINHEIRO","JOAO PINHEIRO",BRAZIL,121,2
"JOAO SUASSUNA","CAMPINA GRANDE",BRAZIL,80,1
JOHANNISBERG,VASTERAS,SWEDEN,187,3
"JOHN WAYNE-ORANGE CO","SANTA ANA","UNITED STATES",107,2
"JOHNSON LAKE","JOHNSON LAKE",CANADA,158,3
"JOHNSTON CO",SMITHFIELD,"UNITED STATES",92,2
JOINVILLE,JOINVILLE,BRAZIL,105,2
JOLIETTE,JOLIETTE,CANADA,147,2
"JONES JR",TULSA,"UNITED STATES",79,1
"JONESBORO MUN",JONESBORO,"UNITED STATES",79,2
"JOPLIN REGL",JOPLIN,"UNITED STATES",79,2
"JORGE E GONZALEZ","SAN JOSE DEL GUAVIARE",COLOMBIA,132,2
"JORGE NEWBERY AEROPARQUE","BUENOS AIRES",ARGENTINA,93,2
"JORGE WILSTERMAN",COCHABAMBA,BOLIVIA,160,3
